Squad,Normal,Scaled,Normalized
Brighton & Hove Albion,7,16,1
Manchester City,0,9,0.56
Arsenal FC,3,12,0.75
Tottenham,3,12,0.75
Wolverhampton Wanderers,3,12,0.75
Crystal Palace,2,11,0.69
Brentford FC,1,10,0.63
Chelsea FC,1,10,0.63
Fulham,1,10,0.63
Liverpool FC,1,10,0.63
Newcastle United,1,10,0.63
Southampton FC,0,9,0.56
West Ham United,-1,8,0.5
Aston Villa,-3,6,0.38
Leicester City,-3,6,0.38
Manchester United,-4,5,0.31
Everton FC,-6,3,0.19
Leeds United,-8,1,0.06
Sheffield Utd,-9,0,0
Burnley FC,-9,0,0
Norwich City,-9,0,0
Watford FC,-9,0,0
West Brom,-9,0,0
