club_name,total
Brighton & Hove Albion,0.7159280859997335
Wolverhampton Wanderers,0.5947255614865987
Arsenal FC,0.5590786625645215
Manchester City,0.5302496705496297
Crystal Palace,0.5245521600865527
Newcastle United,0.4700695218414666
Brentford FC,0.3973322923733868
Liverpool FC,0.3816199128920654
West Ham United,0.3799656861113487
Manchester United,0.3706675139459355
Chelsea FC,0.3692199841210082
Southampton FC,0.36803358792010726
Everton FC,0.3510695145411378
Aston Villa,0.30429977646656053
Leicester City,0.2730097912043851
Leeds United,0.23048830595453929
Watford FC,0.22836155089073248
Burnley FC,0.19438054497875315
Norwich City,0.17745171903717352
